Key	English	Welsh	Comments
page.renewals.renewals_homepage.pending_changes_banner.change_types.end_a_job_self_employed_partner	You told us your partner ended self-employed work		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.1	You must enter whole hours only. For example, if you normally work 22.5 hours a week, enter 22.		No Welsh translation found
page.tcs.workandhours.selfemployedworkenddate.header	When did your self&#8209;employed work end?		No Welsh translation found
page.tcs.addchildcare.have-you-told-your-partner-work-16-hours-or-more.yes-or-no.error-empty	Select yes if you told us that ou told us that your partner works 16 hours or more a week		No Welsh translation found
page.renewals.renewals_homepage.children.description	Add children, remove children, update disability status, certified as severely sight impaired or blind, started or ended education or training, registered or left careers service		No Welsh translation found
dashboard.payment-summary.include-a-one-off-payment	(includes a one-off payment)		No Welsh translation found
page.tcs.children.add-a-child.dob.named-title	What is the child’s date of birth?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.PARTIALLYCOMPLETE	You must renew your tax credits by <span class="no-wrap">31 July {0}.</span>		No Welsh translation found
page.tcs.workandhours.changeemployedearnings.you.employedearnings	How much do you estimate you will earn from all jobs between {0} and {1}?		No Welsh translation found
page.tcs.childcare.changechildcare.not-suitable-no-eligible-different-amounts.link	Call the Tax Credit Helpline		No Welsh translation found
page.tcs.children.add-a-child.wmdyr.title	What money do you get from your local council for the child?		No Welsh translation found
page.tcs.childcare.stopped.childcare.summary.table2	When did you stop paying for childcare?		No Welsh translation found
page.tcs.workandhours.isthispermanentwork.title	Is this a permanent job?		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.continuing_with_education_journey	You told us a child is continuing with education		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.partner.edit-previous-number-of-hours-worked	how many hours {0} normally worked a week at {1}		No Welsh translation found
dashboard.payment-summary.total-payment	(total payment)		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.service_header	How many self&#8209;employed hours a week do you normally work?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.AUTONOCHANGES	Your renewal for {0}		No Welsh translation found
page.tcs.continuing-with-training-course.selectedCourse.employabilityfundscotland	Employability Fund in Scotland		No Welsh translation found
global.error.InternalServerError500.heading.retry	This service is experiencing technical problems		No Welsh translation found
page.tcs.children.removechild.summary.change-this	Edit child details		No Welsh translation found
page.tcs.workandhours.change-to-partner-employment.link.start_self_employed_job	Partner started self-employed work		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.partner.edit-previous-start-date	when {0}’s job at {1} started		No Welsh translation found
page.tcs.childcare.remove.title	Did you stop using any childcare providers?		No Welsh translation found
page.tcs.childcare.changechildcare.weekly-calculation.title	How much you pay a week		No Welsh translation found
page.tcs.workandhours.deductions.partner.sharedParental.enterAmount	Enter Amount		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.jobToLastMoreThanFourWeeks	Did you expect the job to last more than 4 weeks?		No Welsh translation found
page.tcs.workandhours.endedajob.partner.totalWeeklyHours.errorInvalid	How many hours your partner worked in a week in all jobs including self-employment must be a whole number		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.firstname	What are their first and middle names?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-will-you-pay-edit	how much did or will {0} between {1} and {2}?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.amountPaid.month.label	How much did {0} get paid a month?		No Welsh translation found
page.tcs.workandhours.howmanyhours.validation	How many hours a week you normally work must be between 1 and 99		No Welsh translation found
page.tcs.workandhours.deductions.partner.statutoryAdoptionAmount.helptext1	You can take off up to &pound;100 a week.		No Welsh translation found
page.tcs.workandhours.previous_typeofwork.header	In your job, were you employed or <span class="one-liner">self-employed?</span>		No Welsh translation found
page.tcs.children.add-a-child.error-when-did-child-start-living-with-you-dob-between-today	Enter a date between {0}’s date of birth and today		No Welsh translation found
page.tcs.children.add-a-child-will-be.text	will be		No Welsh translation found
page.tcs.change-bank-details.not_entered_new_bank_account_number	Enter the new account number		No Welsh translation found
dashboard.your-tax-credits.renewal-status.p1.AUTOCLOSE	Your claim will be automatically renewed.		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.change_name	You changed your name		No Welsh translation found
page.tcs.workandhours.deductions.maternity	Statutory Maternity Pay		No Welsh translation found
page.tcs.change-bank-details.existing_bank_account_number	Existing bank account number, or building society roll or reference number		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.hoursWorked.value	{0}		No Welsh translation found
page.tcs.childcare.confirm-your-answers.childcare-end-before-start-date-plus-70-day-edit	 if you did or will stop paying  before {0}		No Welsh translation found
page.tcs.children.changeachildwherelivedate.date.error-empty	Enter the date {0} stopped living with you		No Welsh translation found
page.tcs.workandhours.startajobemployed.employmentCountry	Country of employment		No Welsh translation found
page.tcs.children.addChildcare-ineligible-ended-over-a-month-ago.continue	Continue		No Welsh translation found
page.tcs.children.add-a-child.confirm-answers.everyone-live-in-uk	Does everyone on your claim live in the UK?		No Welsh translation found
page.tcs.change-bank-details.existing_account_holder_name	Existing account holder names		No Welsh translation found
page.tcs.workandhours.employed-summary.new-employer-name.vh	what is the name of your new employer		No Welsh translation found
page.tcs.workandhours.previous_employer_name.service_header	What was the name of your employer?		No Welsh translation found
page.tcs.children.add-a-child.has-child-applied-to-the-army.header	Has {0} applied to join the armed forces?		No Welsh translation found
page.tcs.childcare.provider.details.address.helptext	What is their address?		No Welsh translation found
page.tcs.children.add-a-child.end-education-does-child-get-benefits.title	Does the child get any of these benefits?		No Welsh translation found
page.tcs.children.add-a-child.when-did-child-start-getting-these-benefits.error-before-end	Enter a date that is the same as or before {0}, when {1} left their course		No Welsh translation found
page.tcs.start.title	Manage your tax credits		No Welsh translation found
page.tcs.does-child-get-benefits.error	Select yes if {0} gets any of these benefits		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.how-much-you-pay-different-amount-edit	how much you pay {0} {1} when you do not pay them {2}		No Welsh translation found
page.tcs.children.add-a-child.does-child-study-12hours-or-more-a-week.error-empty1	Select yes if {0} will study for an average of more than 12 hours a week		No Welsh translation found
page.tcs.children.add-a-child.is-child-registered-with-connexions.header	Is {0} registered with Connexions or a local careers or support service?		No Welsh translation found
page.tcs.children.education.firstname.required	Enter the child’s first and middle names		No Welsh translation found
page.tcs.children.educationandtraining.dateofbirth.futureDate	Enter a date of birth that is today or in the past		No Welsh translation found
page.tcs.childcare.childDisability.do_you_get_pip	Do you get personal independence payment		No Welsh translation found
page.tcs.workandhours.previousjobsendedcontext.selfemployed.intro.header.partner	You do not need to tell us about income from this job		No Welsh translation found
page.tcs.children.add-a-child.does-everyone-live-in-the-uk.error	Select yes if everyone on your claim lives in the UK		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.amountPaid.hint	Do not take off tax or National Insurance.		No Welsh translation found
page.tcs.children.changeachildname.do-you-need-change-name.line2	changed it by deed poll		No Welsh translation found
page.tcs.change.childcare-summary.who-is-the-childcare-for	Who does {0} care for?		No Welsh translation found
dashboard.viewchangedetails.yourpartner.employment.numberofjobs.label	Number of jobs		No Welsh translation found
pages.tcs.workandhours.deductions.feesAmount.toMuch	Enter a valid amount for fees to professional bodies		No Welsh translation found
page.tcs.children.add-a-child.clwy.li2	regularly		No Welsh translation found
dashboard.viewchangedetails.you.employment.changenumberofhours.edit	Change working hours		No Welsh translation found
dashboard.viewchangedetails.jobsandincome.you.subtitle	You		No Welsh translation found
page.tcs.children.add-a-child.is-child-registered-with-connexions.error-empty	Select yes if {0} is registered with Connexions or a local careers or support service		No Welsh translation found
page.tcs.personal.changeyourpartnersname.error	Select yes if you need to change your partner’s name		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-often-do-you-pay-edit	how often you pay {0}		No Welsh translation found
page.tcs.workandhours.changeworkinghours.amount.p3	Include overtime but not unpaid breaks.		No Welsh translation found
page.tcs.workandhours.alljobs.intro.partner.p1	So we can estimate {0}’s earnings and self-employed profit, we need to ask about:		No Welsh translation found
page.tcs.workandhours.previous_typeofwork.partner.header	In {0}’s job, were they employed or <span class="one-liner">self-employed?</span>		No Welsh translation found
page.tcs.childcare.provider-summary-text.you-said	You said you:		No Welsh translation found
page.tcs.childcare.provider-summary-text.remove-providers-count	stopped using {0} childcare providers		No Welsh translation found
page.tcs.workandhours.amendajob.summary.change-this	Edit working hours		No Welsh translation found
page.tcs.children.changeachildname.dateofbirth	What is their date of birth?		No Welsh translation found
page.tcs.continuing-with-education-course.selectedCourse.standardgradescotland	Higher National Certificate in Scotland		No Welsh translation found
page.tcs.workandhours.previousjobsendedcontext.selfemployed.intro.p2	The money you earned is not part of your estimated self&#8209;employed profit between {0} and {1}.		No Welsh translation found
fostering.authority.not.answered	Tell us if the Local Authority pays towards their accommodation or maintenance		No Welsh translation found
page.tcs.change-bank-details.existing_sort_code	Existing sort code		No Welsh translation found
page.tcs.personal.addresschange.isAddressWithinTheUk.partner	Is your partner’s new address within the United Kingdom?		No Welsh translation found
page.renewals.renewals_homepage.health.description	Long-term illness or hospital stay		No Welsh translation found
page.tcs.workandhours.employer_details.addressLine2.helptext	Address line 2		No Welsh translation found
page.tcs.workandhours.changeworkinghours.temporaryLeave.p1	For example, statutory maternity, paternity, adoption, shared parental or sick leave.		No Welsh translation found
page.tcs.workandhours.changeworkinghours.temporaryLeave.no	No		No Welsh translation found
page.tcs.renewals.children.add-a-child.disability-benefit-help-text	This includes Disability Living Allowance (DLA) or Personal Independence Payment (PIP).		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.notinteger	How many hours a week {0} normally works must be a whole number		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.li6	if self-employed your Unique Tax Reference number (if known)		No Welsh translation found
page.tcs.continuing-with-training-course.alternativeCourseRequired	Enter course details or select a course from the list		No Welsh translation found
page.tcs.reportdeath.nmvp.dateofbirth.invalid	Enter a valid date of birth		No Welsh translation found
page.tcs.personal.changeyourname.service_title	Do you need to change your name?		No Welsh translation found
page.tcs.addchildcare.changeachildname.firstname-journey-invalidLength	First and middle names must be 35 characters or less		No Welsh translation found
page.tcs.workandhours.changeworkinghours.partner.amount.p4	You must include {0}’s regular overtime but not unpaid breaks and enter hours only. For example, if they normally work between 22 and 23 hours a week, enter 22.		No Welsh translation found
page.tcs.childcare.remove.provider.children-names-and-dobs.error-length	The names and dates of birth of the children who were cared for by this provider must be 255 characters or less		No Welsh translation found
page.tcs.change.childcare-summary.total	 Total		No Welsh translation found
page.tcs.change.childcare-summary.ever-pay-different	Do you ever pay {0} something different than {1}?		No Welsh translation found
page.tcs.addchildcare.end-date.error-empty	Enter the date you did or will stop paying {0}		No Welsh translation found
page.tcs.renewals.changes_other.illness.p1.joint	Tell us if you, your partner or both you were ill or in hospital for more than 28 weeks.		No Welsh translation found
page.tcs.workandhours.employed-summary.previous.employed_earnings	Estimated earnings from {0}		No Welsh translation found
page.tcs.renewals.changes_other.stopped.p1	Tell us which of these benefits you stopped getting and when you stopped getting them.		No Welsh translation found
page.tcs.personal.didPartnerMove.edit	if {0} moved with you		No Welsh translation found
page.tcs.children.add-a-child.will-child-do-an-approved-training-course-l3	Training for Success, Pathways to Success, and Collaboration and Innovation Programme in Northern Ireland		No Welsh translation found
page.tcs.workandhours.startjobdate.header	When did your new job start?		No Welsh translation found
page.tcs.renewals.changes_other.started.li13	Personal Independence Payment – tell us if you get the enhanced rate from the daily living component		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p1.AUTOCLOSE	Your claim will be automatically renewed.		No Welsh translation found
page.tcs.addchildcare.provider.address.line5.invalidLength	Address line 5 must be 35 characters or less		No Welsh translation found
dashboard.viewchangedetails.bank_details.title	Bank details		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.check	Check your renewal		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.ftnae.p3.sept.p2.link	add them back to your claim		No Welsh translation found
page.tcs.childcare.changechildcare.cannot-remove-a-childcare-endDate.p2	This is too far in the future. You can tell us you are going to stop paying {0} on {1}.		No Welsh translation found
page.tcs.renewals.children.add-a-child.last-name	Child’s last name		No Welsh translation found
page.tcs.workandhours.self-employed-summary.edit-typeofwork	if you are employed or self-employed in your new job		No Welsh translation found
page.tcs.children.add-a-child.ineligible.courseInFuture.illness.new.ul1	{0} starts their new course on {1}		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.other_stopped_benefits.joint	You, your partner, or both of you stopped a receiving benefit		No Welsh translation found
page.tcs.changes_other.started.li7	Employment and Support Allowance (income-related)		No Welsh translation found
site.summary.submit.otherchanges	Continue to other changes		No Welsh translation found
page.tcs.online-service-unavailable.p3	tax credits helpline.		No Welsh translation found
page.tcs.children.add-a-child.ineligible.courseInFuture.illness.ul2	the time between {0} was not because of an illness or disability		No Welsh translation found
page.tcs.renewals.children.add-a-child.error-child-adopted	Select if this child is adopted, fostered or has a Special Guardianship Order		No Welsh translation found
dashboard.payment-summary.one-off-payment	(one-off payment)		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.employed.partner.p2	You must enter whole hours only. For example, if they normally work 22.5 hours a week, enter 22.		No Welsh translation found
validation.phone1.invalidFormat	Telephone number 1 must be a valid telephone number		No Welsh translation found
page.tcs.changes_other.blind.h1	Certified as severely sight impaired or blind		No Welsh translation found
page.tcs.children.add-a-child.connexions-change.dateofbirth.futureDate	Date of birth must be in the past		No Welsh translation found
page.tcs.childcare.confirm-your-answers.name-and-address-of-the-childcare-provider-edit	 the name and address of the childcare provider		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.calculatedEstimatedEarnings.value	{0}		No Welsh translation found
page.renewals.renewals_homepage.children.change.child_name	Change child’s name		No Welsh translation found
page.tcs.partner-details.lastName	What is your partner’s last name?		No Welsh translation found
page.tcs.workandhours.startajobemployed.jobStartedDate	When did the job start?		No Welsh translation found
dashboard.payments.subtitle	for 6 April 2015 to 5 April 2016		No Welsh translation found
page.tcs.workandhours.employer_name.current_job.invalid	Name of employer already on your claim must only include letters a to z, spaces, commas, full stops, hyphens, apostrophes, ampersands (&) and round brackets		No Welsh translation found
page.tcs.workandhours.changeworkinghours.temporaryLeave.error	 Select yes if you are on temporary leave		No Welsh translation found
page.tcs.children.disability.change-higher-dla.yes-or-no.error-empty	Select yes if {0} gets the highest rate of Disability Living Allowance’s care component		No Welsh translation found
page.tcs.reportdeath.nmvp.dateofdeath.priortodateofbirth	Date of birth must be before or the same as when they died		No Welsh translation found
page.tcs.children.changeachild-dob-edit	Edit		No Welsh translation found
page.renewals.renewals_homepage.benefits.change_stop_benefits	Stopped receiving a benefit		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.partner.subsectiontitle	Help to work out your normal hours		No Welsh translation found
page.questionnaire.difficult	Difficult		No Welsh translation found
page.tcs.wtc.ctc-payments.ga.form-submit	form - submit		No Welsh translation found
page.tcs.changes_other.li4	prison sentence		No Welsh translation found
page.tcs.workandhours.previousworkenddate.partner.blank	Enter the date {0}’s previous job ended		No Welsh translation found
page.tcs.workandhours.stillhaveajob.header	Do you still have the job where you work {0} hours a week that you started in {1}?		No Welsh translation found
page.tcs.renewals.changes_other.illness.p1	Tell us about your illness or stay in hospital.		No Welsh translation found
page.tcs.children.add-a-child.has-child-applied-to-the-army.title	Has the child applied to join the armed forces?		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.not-suitable-joint-claim.line3	in prison or in custody waiting trial or sentence		No Welsh translation found
page.tcs.workandhours.endedajob.partner.totalWeeklyHours	After ending this job, how many hours did your partner work a week in all jobs including self-employment?		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.partner.edit-previous-end-date	when {0}’s job at {1} ended		No Welsh translation found
page.tcs.children.add-a-child.did-child-accept-place-on-course-before-19.title	Did the accept a place on the course before {0}?		No Welsh translation found
page.tcs.workandhours.deductions.giftAid.enterAmount	Enter Amount		No Welsh translation found
page.tcs.workandhours.startajobhavepartnerbenefitsended.benefits.jsa	Has {0}’s Jobseeker’s or Employment and Support Allowance ended or is it expected to end?		No Welsh translation found
errorMessage.required.your	Enter your {0}		No Welsh translation found
page.tcs.cannot_use_tax_credits_service.helpline	<a href={0} id={1} target="blank">Find out if you qualify for tax credits</a> (opens in a new window or tab).		No Welsh translation found
pages.tcs.workandhours.deductions.pensionsAmount.toMuch	Enter a valid amount for payments to stakeholder pensions		No Welsh translation found
page.tcs.childcare.changechildcare.confirm-and-send.do-you-still-pay-with-own-money	Do you still pay {0} with your own money?		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.partner.p6	Enter how many hours they expect to work each week. After 4 weeks you will know their normal hours and can update this.		No Welsh translation found
page.tcs.workandhours.startajobemployed.paymentdetails.howOftenPaidWTC.radio.everyfourweeks	Every four weeks		No Welsh translation found
dashboard.viewchangedetails.jobsandincome.partner.changeToEmployment.aria	Change {0}’s employment		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.other_started_benefits.joint	You, your partner, or both of you started a receiving benefit		No Welsh translation found
page.tcs.workandhours.deductions.partner.maternity.enterAmount	Enter Amount		No Welsh translation found
page.tcs.renewals.changes_other.blind.h1	Child is certified as severely sight impaired or blind		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.p3	Seasonal workers		No Welsh translation found
page.tcs.reportdeath.nmvp.dateofbirth.futuredate	Enter a date of birth that is in the past		No Welsh translation found
page.tcs.workandhours.changeemployedearnings.you.error-earnings-range	 Estimated earnings must be 9999999999.99 or less		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.totalNumberOfJob.errors	Your entry for total number of jobs must be between 1 and 9		No Welsh translation found
page.tcs.childcare.changechildcare.not-suitable-no-eligible-different-amounts.p1	You said you pay {0} more than 3 different amounts {1}.		No Welsh translation found
page.tcs.children.disability.stop-certified-blind.invalid	Enter the date {0} stopped being certified blind		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.education_and_training	You told us a child has started or ended education or training		No Welsh translation found
page.tcs.renewals.changes_other.started.li6	Employment and Support Allowance (contributions-based)		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.not-suitable-no-eligible-children.line1	is certified as severely sight impaired or blind		No Welsh translation found
page.tcs.children.changeachildname.firstname-help-text	The child’s first and middle names should be as they are shown on their birth certificate.		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.p5	Employment agency workers		No Welsh translation found
page.tcs.children.education.lastname.hint	The child’s last name should be as it is shown on your annual review.		No Welsh translation found
page.tcs.addchildcare.do-you-know-end-date.yes-or-no.error-empty	Select yes if you know when the childcare will end		No Welsh translation found
page.tcs.fallout.iv-identity-failure-dropout.service_title	Unable to confirm identity		No Welsh translation found
page.tcs.workandhours.earnings_calculator.service_header.visuallyhidden	 how much you get paid at {0}		No Welsh translation found
dashboard.viewchangedetails.you.change-childcare-help-line	Call the Tax Credit Helpline to change childcare		No Welsh translation found
page.tcs.workandhours.deductions.giftAidAmount.helptext2	For example, if you pay &pound;100 to charity during the tax year, enter &pound;125.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.amounPaid.label	Amount {0} gets paid		No Welsh translation found
page.tcs.children.changerelationship-edit	Edit		No Welsh translation found
otherChangesText.label	Limit is 1800 characters		No Welsh translation found
page.tcs.personal.your.address.service_title	Your address		No Welsh translation found
page.renewals.renewals_homepage.other.change_abroad	Live overseas or went abroad for more than 8 weeks		No Welsh translation found
page.tcs.reportdeath.nmvp.dateofbirth.help	For example 20 3 1976		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.other_started_benefits	You started receiving a benefit		No Welsh translation found
page.tcs.children.add-a-child.does-child-study-12hours-or-more-a-week.header2	Does {0} study for an average of more than 12 hours a week?		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-you-pay.title	How much did or will you pay the childcare provider?		No Welsh translation found
page.tcs.workandhours.incomechangeselfemployedprofit.error.invalidAmount	Estimated self-employed profit must be 9999999.99 or less		No Welsh translation found
page.tcs.personal.has_relationship_ended.link	https://www.gov.uk/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.overtime	You must include regular overtime but not unpaid breaks and enter hours only. For example, if they normally work between 22 and 23 hours a week, enter 22.		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.amountPaid.required	Enter how much {0} gets paid		No Welsh translation found
page.tcs.workandhours.howmanyjobs.partner.error.notselected	Select how many jobs {0} has now		No Welsh translation found
page.tcs.workandhours.earnings_calculator.amountPaid.range	How much you get paid must be 9,999,999,999.99 or less		No Welsh translation found
page.tcs.addchildcare.changeachildname.firstname-journey-invalid	First and middle names must only include letters a to z, spaces, hyphens or apostrophes		No Welsh translation found
page.tcs.workandhours.startjobdate.partner.header	When did {0} start the new job?		No Welsh translation found
page.tcs.workandhours.previous_employer_name.service_title	What was the name of your employer?		No Welsh translation found
page.tcs.workandhours.deductions.partner.workRelatedExpensesAmount.helptext1	Enter the total amount they expect to pay between {0} and {1}.		No Welsh translation found
dashboard.your-tax-credits.renewal-status.p1.FINALISEDNORESUBMIT	You will get an award notice in the next 2 weeks.		No Welsh translation found
page.tcs.children.change-childs-details-ever-been-certified-blind.title	Has the child ever been certified blind?		No Welsh translation found
page.tcs.addchildcare.how-much-you-can-get.p3	£210 a week is the most you can get if you have 2 or more children in childcare. This is 70% of £300.		No Welsh translation found
page.tcs.children.add-a-child.dygd-error	Select yes if {0} gets one of these disability benefits		No Welsh translation found
page.tcs.children.add-a-child.education-and-training.datestoppedfulltimenonadveducation	Date stopped over 16 education or training		No Welsh translation found
every_two_weeks	Every 2 weeks		No Welsh translation found
page.tcs.childcare.stopped.childcare.title	When did you stop paying for childcare?		No Welsh translation found
page.tcs.workandhours.stillhaveajob.partner.error.notselected	Select yes if {0} still has the job where they work {1} hours that they started in {2}		No Welsh translation found
page.tcs.workandhours.typeofwork.partner.radioSelfEmployed	Self-employed		No Welsh translation found
page.tcs.workandhours.self-employed-summary.edit-hours	how many self‑employed hours you work a week		No Welsh translation found
page.tcs.workandhours.changeworkinghours.temporaryLeave.title	Are you on temporary leave?		No Welsh translation found
page.tcs.childcare.addchildcareprovider.provider_address.legend	Childcare provider address		No Welsh translation found
page.tcs.children.add-a-child.dyrm.header	Do you get money from your local council for {0}?		No Welsh translation found
page.tcs.children.add-a-child.ringus.applied_to_army.p2	<a href="https://www.gov.uk/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries" target="_blank">Call the Tax Credit Helpline (opens in a new window or tab)</a> to add {0} to your claim.		No Welsh translation found
page.tcs.workandhours.deductions.partner.flatRateExpenses.enterAmount	Enter Amount		No Welsh translation found
page.tcs.workandhours.howmanyhours.p2	Enter how many hours you work each week during the term.		No Welsh translation found
page.tcs.children.change-childs-details.header	Change child’s details		No Welsh translation found
page.tcs.workandhours.employer_name.new_job.partner.invalidLength	Name of {0}’s employer must be between 2 and 56 characters		No Welsh translation found
page.tcs.childcare.changechildcare.childcare-summary.how-much-normally-you-pay-hidden	 how much you pay {0} {1}		No Welsh translation found
page.tcs.childcare.provider.address.line1.error-empty	Enter address line 1 of the provider’s address		No Welsh translation found
page.questionnaire.neither_easy_or_difficult	Neither easy nor difficult		No Welsh translation found
page.tcs.renewals.changes_other.started.li1	Armed Forces Independence Payment		No Welsh translation found
page.tcs.workandhours.deductions.workRelatedExpenses.enterAmount	Enter Amount		No Welsh translation found
page.tcs.workandhours.earnings_calculator.radioHourly	Hour		No Welsh translation found
page.tcs.children.disability.continue	Continue		No Welsh translation found
page.tcs.workandhours.deductions.partner.maternityAmount.helptext3	Do not include Maternity Allowance.		No Welsh translation found
dashboard.viewchangedetails.bank_details.if_you_change	If you change your bank account, your next payment may not be paid into the new account.		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p2.PARTIALLY	You must complete all declarations to renew your tax credits.		No Welsh translation found
page.tcs.workandhours.startjobdate.title	When did your new job start?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.estimateMethod	Do you want to base their estimate on how much {0} earns an hour, week, month or year?		No Welsh translation found
page.tcs.changechildcare.provider-notification.subtitle	We ask you about each of your childcare providers separately. We need to know:		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.amounPaid.label	Amount you get paid		No Welsh translation found
change.your.name.bullet.1	started or stopped using your partner’s or another last name		No Welsh translation found
page.tcs.workandhours.self-employed-summary.partner.edit-has-made-profit	Does {0} expect to make a profit between {1} and {2}?		No Welsh translation found
